0	5194
1	5195
2	2858
3	2863
4	5637
5	5196
6	5197
7	5198
8	5199
9	5200
10	5201
11	4696
12	5202
13	2563
14	5638
15	5203
16	5204
17	5205
18	5206
19	2869
20	2873
21	2876
22	2571
23	5639
24	4698
25	5640
26	5641
27	5642
28	2880
29	4702
30	4706
31	4709
32	5207
33	2882
34	2572
35	2578
36	1340
37	5643
38	5644
39	5645
40	5646
41	5647
42	4710
43	162
44	2857
45	5648
46	734
47	734
48	287
49	5649
50	5650
51	4712
52	4713
53	4714
54	2886
55	5651
56	2887
57	4715
58	2888
59	2889
60	2890
61	5652
62	5653
63	1786
64	2582
65	2584
66	2586
67	2588
68	1226
69	2891
70	2892
71	2893
72	1228
73	610
74	609
75	2590
76	2894
77	2359
78	1523
79	2895
80	2896
81	2897
82	2898
83	2899
84	1233
85	5654
86	618
87	5208
88	1233
89	5209
90	5210
91	2592
92	5655
93	5656
94	5657
95	5658
96	1107
97	1787
98	1344
99	2900
100	1789
101	1789
102	2901
103	2902
104	2903
105	2904
106	2905
107	5659
108	4716
109	4717
110	2906
111	94
112	5211
113	237
114	4718
115	2169
116	2907
117	1177
118	2910
119	2911
120	2913
121	5660
122	5661
123	5662
124	2172
125	2183
126	1353
127	2190
128	1790
129	5663
130	5664
131	5665
132	2916
133	2918
134	2360
135	5666
136	5667
137	5668
138	5669
139	5670
140	867
141	5212
142	2595
143	5213
144	5671
145	2194
146	2920
147	2920
148	2600
149	5214
150	4721
151	483
152	5672
153	5215
154	5216
155	5217
156	1115
157	78
158	82
159	1798
160	5673
161	1802
162	2922
163	347
164	5674
165	5675
166	5676
167	5677
168	628
169	652
170	5678
171	5679
172	5680
173	5681
174	576
175	576
176	5682
177	5683
178	2925
179	5684
180	4722
181	2929
182	2931
183	4724
184	153
185	258
186	4727
187	830
188	5685
189	4728
190	2932
191	2933
192	2935
193	2936
194	5686
195	2937
196	2938
197	2939
198	4729
199	2940
200	2941
201	2942
202	2601
203	2943
204	2944
205	2945
206	2946
207	2947
208	2948
209	1292
210	4730
211	2949
212	2950
213	2951
214	5687
215	1183
216	2200
217	25
218	5688
219	832
220	5689
221	4732
222	2170
223	2953
224	2954
225	4733
226	2955
227	2956
228	2957
229	5690
230	1357
231	2958
232	599
233	2959
234	548
235	217
236	2960
237	2961
238	470
239	2962
240	2963
241	2964
242	1462
243	2965
244	1806
245	2966
246	5218
247	4734
248	1806
249	5691
250	4735
251	56
252	642
253	2967
254	2968
255	1467
256	2969
257	2970
258	2971
259	2972
260	2973
261	2974
262	963
263	2975
264	2976
265	466
266	2977
267	2603
268	2203
269	2978
270	2979
271	5692
272	2980
273	2981
274	2208
275	433
276	2982
277	2983
278	2984
279	2985
280	1468
281	2986
282	2987
283	1805
